Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1961","1961","ha","780000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1961","1961","100 g/ha","94667","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1961","1961","t","7384000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1962","1962","ha","865000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1962","1962","100 g/ha","87665","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1962","1962","t","7583000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1963","1963","ha","801000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1963","1963","100 g/ha","97166","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1963","1963","t","7783000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1964","1964","ha","870000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1964","1964","100 g/ha","91747","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1964","1964","t","7982000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1965","1965","ha","829000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1965","1965","100 g/ha","98697","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1965","1965","t","8182000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1966","1966","ha","910000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1966","1966","100 g/ha","92110","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1966","1966","t","8382000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1967","1967","ha","958000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1967","1967","100 g/ha","89572","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1967","1967","t","8581000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1968","1968","ha","902000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1968","1968","100 g/ha","97572","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1968","1968","t","8801000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1969","1969","ha","906000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1969","1969","100 g/ha","99779","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1969","1969","t","9040000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1970","1970","ha","857000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1970","1970","100 g/ha","119090","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1970","1970","t","10206000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1971","1971","ha","900000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1971","1971","100 g/ha","101911","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1971","1971","t","9172000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1972","1972","ha","960000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1972","1972","100 g/ha","99688","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1972","1972","t","9570000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1973","1973","ha","970000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1973","1973","100 g/ha","98969","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1973","1973","t","9600000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1974","1974","ha","1000000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1974","1974","100 g/ha","95000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1974","1974","t","9500000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1975","1975","ha","1050000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1975","1975","100 g/ha","100000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1975","1975","t","10500000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1976","1976","ha","1080000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1976","1976","100 g/ha","101852","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1976","1976","t","11000000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1977","1977","ha","1100000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1977","1977","100 g/ha","100000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1977","1977","t","11000000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1978","1978","ha","1100000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1978","1978","100 g/ha","109091","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1978","1978","t","12000000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1979","1979","ha","1150000","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1979","1979","100 g/ha","104348","E","Estimated value"
