Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2006","2006","1000 ha","3","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2007","2007","1000 ha","3.2","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2008","2008","1000 ha","3.1","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2009","2009","1000 ha","8.2","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2010","2010","1000 ha","12","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2011","2011","1000 ha","9.47","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2012","2012","1000 ha","9.52","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2013","2013","1000 ha","0.25","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2014","2014","1000 ha","5.02","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2015","2015","1000 ha","5.02","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2016","2016","1000 ha","52.4","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2017","2017","1000 ha","53.4","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2018","2018","1000 ha","57.12","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2019","2019","1000 ha","55.05","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2020","2020","1000 ha","55","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6671","Agriculture area under organic agric.","2021","2021","1000 ha","58.0282","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6672","Agriculture area certified organic","2010","2010","1000 ha","5","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6672","Agriculture area certified organic","2016","2016","1000 ha","47.4","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6672","Agriculture area certified organic","2018","2018","1000 ha","55.98","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6672","Agriculture area certified organic","2019","2019","1000 ha","55.04","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6672","Agriculture area certified organic","2020","2020","1000 ha","55","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6672","Agriculture area certified organic","2021","2021","1000 ha","58.0282","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6668","Cropland area under organic agric.","2020","2020","1000 ha","55","I","Imputed value"
"RL","Land Use","566","Nigeria","5110","Area","6669","Cropland area certified organic","2020","2020","1000 ha","55","I","Imputed value"
