Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1961","1961","kg/ha","3.4691","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1962","1962","kg/ha","3.56","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1963","1963","kg/ha","3.6508","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1964","1964","kg/ha","3.7417","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1965","1965","kg/ha","3.8325","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1966","1966","kg/ha","3.9234","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1967","1967","kg/ha","4.0143","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1968","1968","kg/ha","4.1052","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1969","1969","kg/ha","4.1961","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1970","1970","kg/ha","4.2871","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1971","1971","kg/ha","4.5773","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1972","1972","kg/ha","4.6334","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1973","1973","kg/ha","4.7268","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1974","1974","kg/ha","4.7907","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1975","1975","kg/ha","4.8488","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1976","1976","kg/ha","4.9832","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1977","1977","kg/ha","5.1009","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1978","1978","kg/ha","5.2225","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1979","1979","kg/ha","5.3121","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1980","1980","kg/ha","5.3645","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1981","1981","kg/ha","5.548","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1982","1982","kg/ha","5.5754","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1983","1983","kg/ha","5.694","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1984","1984","kg/ha","5.6963","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1985","1985","kg/ha","5.75","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1986","1986","kg/ha","5.7933","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1987","1987","kg/ha","5.843","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1988","1988","kg/ha","6.0075","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1989","1989","kg/ha","6.1042","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1990","1990","kg/ha","6.9023","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1991","1991","kg/ha","6.2383","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1992","1992","kg/ha","6.4609","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1993","1993","kg/ha","6.4158","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1994","1994","kg/ha","6.3432","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1995","1995","kg/ha","6.4154","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1996","1996","kg/ha","6.6462","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1997","1997","kg/ha","6.3224","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1998","1998","kg/ha","6.1371","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1999","1999","kg/ha","5.7661","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2000","2000","kg/ha","5.5601","E","Estimated value"
