Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1961","1961","100 g/ha","94667","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1962","1962","100 g/ha","87665","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1963","1963","100 g/ha","97166","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1964","1964","100 g/ha","91747","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1965","1965","100 g/ha","98697","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1966","1966","100 g/ha","92110","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1967","1967","100 g/ha","89572","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1968","1968","100 g/ha","97572","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1969","1969","100 g/ha","99779","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1970","1970","100 g/ha","119090","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1971","1971","100 g/ha","101911","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1972","1972","100 g/ha","99688","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1973","1973","100 g/ha","98969","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1974","1974","100 g/ha","95000","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1975","1975","100 g/ha","100000","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1976","1976","100 g/ha","101852","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1977","1977","100 g/ha","100000","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1978","1978","100 g/ha","109091","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1979","1979","100 g/ha","104348","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1980","1980","100 g/ha","95833","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1981","1981","100 g/ha","91667","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1982","1982","100 g/ha","93600","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1983","1983","100 g/ha","90455","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1984","1984","100 g/ha","93725","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1985","1985","100 g/ha","112465","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1986","1986","100 g/ha","113132","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1987","1987","100 g/ha","107733","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1988","1988","100 g/ha","114618","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1989","1989","100 g/ha","106136","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1990","1990","100 g/ha","116533","E","Estimated value"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1991","1991","100 g/ha","101936","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1992","1992","100 g/ha","105931","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1993","1993","100 g/ha","105935","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1994","1994","100 g/ha","105928","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1995","1995","100 g/ha","106671","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1996","1996","100 g/ha","106646","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1997","1997","100 g/ha","118818","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1998","1998","100 g/ha","107461","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","1999","1999","100 g/ha","95998","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2000","2000","100 g/ha","97000","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2001","2001","100 g/ha","96012","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2002","2002","100 g/ha","99013","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2003","2003","100 g/ha","104023","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2004","2004","100 g/ha","110011","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2005","2005","100 g/ha","109902","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2006","2006","100 g/ha","120003","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2007","2007","100 g/ha","112026","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2008","2008","100 g/ha","118004","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2009","2009","100 g/ha","117679","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2010","2010","100 g/ha","122155","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2011","2011","100 g/ha","112108","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2012","2012","100 g/ha","79585","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2013","2013","100 g/ha","70323","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2014","2014","100 g/ha","76554","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2015","2015","100 g/ha","72659","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2016","2016","100 g/ha","90763","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2017","2017","100 g/ha","90737","A","Official figure"
"QCL","Crops and livestock products","566","Nigeria","5419","Yield","01520.01","Cassava, fresh","2018","2018","100 g/ha","94038","A","Official figure"
