Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1961","1961","t","371","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1962","1962","t","401","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1963","1963","t","500","I","Imputed value",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1964","1964","t","1100","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1965","1965","t","2000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1966","1966","t","4600","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1967","1967","t","4000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1968","1968","t","4000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1969","1969","t","3425","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1970","1970","t","2572","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1971","1971","t","3588","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1972","1972","t","9149","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1973","1973","t","4700","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1974","1974","t","13200","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1975","1975","t","30200","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1976","1976","t","35000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1977","1977","t","35000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1978","1978","t","35000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1979","1979","t","62400","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1980","1980","t","92200","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1981","1981","t","96700","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1982","1982","t","103000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1983","1983","t","120600","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1984","1984","t","120200","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1985","1985","t","109600","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1986","1986","t","121000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1987","1987","t","108300","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1988","1988","t","153200","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1989","1989","t","180400","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1990","1990","t","210000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1991","1991","t","212000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1992","1992","t","220000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1993","1993","t","220000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","566","Nigeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1994","1994","t","186000","X","Figure from international organizations",""
