Year Code,"Cassava, fresh (100 g/ha)",Nutrient nitrogen N (t),Cropland nitrogen per unit area (kg/ha),Area harvested (ha),Atmospheric Deposition kg/ha
1961,94667,371,3.4691,780000,3.4691
1962,87665,401,3.56,865000,3.56
1963,97166,500,3.6508,801000,3.6508
1964,91747,1100,3.7417,870000,3.7417
1965,98697,2000,3.8325,829000,3.8325
1966,92110,4600,3.9234,910000,3.9234
1967,89572,4000,4.0143,958000,4.0143
1968,97572,4000,4.1052,902000,4.1052
1969,99779,3425,4.1961,906000,4.1961
1970,119090,2572,4.2871,857000,4.2871
1971,101911,3588,4.5773,900000,4.5773
1972,99688,9149,4.6334,960000,4.6334
1973,98969,4700,4.7268,970000,4.7268
1974,95000,13200,4.7907,1000000,4.7907
1975,100000,30200,4.8488,1050000,4.8488
1976,101852,35000,4.9832,1080000,4.9832
1977,100000,35000,5.1009,1100000,5.1009
1978,109091,35000,5.2225,1100000,5.2225
1979,104348,62400,5.3121,1150000,5.3121
1980,95833,92200,5.3645,1200000,5.3645
1981,91667,96700,5.548,1200000,5.548
1982,93600,103000,5.5754,1250000,5.5754
1983,90455,120600,5.694,1100000,5.694
1984,93725,120200,5.6963,1259000,5.6963
1985,112465,109600,5.75,1075000,5.75
1986,113132,121000,5.7933,1095000,5.7933
1987,107733,108300,5.843,1288000,5.843
1988,114618,153200,6.0075,1347000,6.0075
1989,106136,180400,6.1042,1639778,6.1042
1990,116533,210000,6.9023,1634130,6.9023
1991,101936,212000,6.2383,2551000,6.2383
1992,105931,220000,6.4609,2755000,6.4609
1993,105935,220000,6.4158,2844000,6.4158
1994,105928,186000,6.3432,2927000,6.3432
1995,106671,100000,6.4154,2944000,6.4154
1996,106646,105000,6.6462,2946000,6.6462
1997,118818,77300,6.3224,2697400,6.3224
1998,107461,100000,6.1371,3042500,6.1371
1999,95998,107000,5.7661,3406000,5.7661
2000,97000,105600,5.5601,3300000,5.5601
2001,96012,146800,5.8741,3340000,5.8741
2002,99013,125131,5.9592,3446000,5.9592
2003,104023,167778,6.2191,3490000,6.2191
2004,110011,116343,6.2246,3531000,6.2246
2005,109902,213221,6.4819,3782000,6.4819
2006,120003,216854,6.1836,3810000,6.1836
2007,112026,70115,6.5331,3875000,6.5331
2008,118004,125033,6.1941,3778000,6.1941
2009,117679,99589,6.3701,3129030,6.3701
2010,122155,263151,6.3991,3481900,6.3991
2011,112108,138428,6.3348,4120166,6.3348
2012,79585,192598.73,6.303,6401996,6.303
2013,70323,269528.61,6.3452,6741300,6.3452
2014,76554,242150.99,6.4916,7096300,6.4916
2015,72659,196103.73,6.4688,7900630,6.4688
2016,90763,288746.46,6.523,6668996,6.523
2017,90737,453000,6.5837,6761350,6.5837
2018,94038,436400,6.6604,6949400,6.6604
2019,58271,436400,6.6604,9776650,6.6604
2020,81015,436400,6.6604,9614230,6.6604
2021,69374,436400,,9979330,
2022,,,,10029844,
